hear_date,venue,latitude,longitude,direction,region,district,country
13-Apr-11,Agricultural Training Institute,-0.435421,39.648934,East,North Eastern,Garissa,Kenya
19-Apr-11,Raha Palace Hotel,1.746827,40.059778,North East,North Eastern,Wajir,Kenya
20-Apr-11,Raha Palace Hotel,1.746827,40.059778,North East,North Eastern,Wajir,Kenya
26-Apr-11,Jabane Hall,3.937365,41.86051,North East,North Eastern,Mandera,Kenya
1-May-11,Arid Lands Resource Management Project Guest House,3.941048,41.863414,East,Eastern,Moyale,Kenya
5-May-11,Nomad’s Trail Rest House Conference Hall,2.332973,37.989087,North,Eastern,Marsabit,Kenya
10-May-11,Wabera Primary School Dining Hall ,0.349374,37.583679,North East,Eastern ,Isiolo ,Kenya
24-May-11,Mount Elgon Council Hall ,0.841331,34.715102,West,Western ,Mt. Elgon ,Kenya
28-Jun-11,Sheywe Conference Hall ,0.290713,34.755292,West,Western ,Kakamega ,Kenya
4-Jul-11,Busia Country Hotel ,0.456277,34.121574,West,Western ,Busia ,Kenya
9-Jul-11,Tourist Hotel ,0.567612,34.562143,West,Western ,Bungoma ,Kenya
16-Jul-11,Aga Khan Hall ,-0.09821,34.75467,West,Nyanza ,Kisumu ,Kenya
22-Jul-11,St. Vincent Catholic Church Centre ,-0.668883,34.76741,Southwest,Nyanza ,Kisii ,Kenya
26-Jul-11,St. Matare Seventh-Day Adventist Church Kegonga ,3.937365,41.86051,Southwest,Nyanza,Kuria,Kenya
20-Sep-11,Kipsigis County Hall ,-0.371368,35.282821,Southwest,Rift Valley ,Kericho ,Kenya
24-Sep-11,ACK Cathedral ,-0.289265,36.068813,West Central,Rift Valley ,Nakuru ,Kenya
27-Sep-11,St Francis Xavier Catholic Church ,-0.72009,36.43884,West,Rift Valley ,Naivasha ,Kenya
30-Sep-11,African Hope Conference Hall ,-1.089445,35.863416,West,Rift Valley ,Narok ,Kenya
4-Oct-11,Teacher’s Advisory Centre Hall ,0.514277,35.269781,West,Rift Valley ,Eldoret ,Kenya
11-Oct-11,St. Teresa Pastoral Centre Hall Lodwar ,3.113346,35.590112,North,Rift Valley ,Lodwar ,Kenya
15-Oct-11,Pokot county Council Hall ,0.51941,35.771118,North,Rift Valley ,Kapenguria ,Kenya
22-Oct-11,Kitale county Council Hall ,1.015034,35.001803,North,Rift Valley ,Kitale ,Kenya
25-Oct-11,Baringo County Council Hall ,0.492267,35.743731,North,Rift Valley ,Baringo ,Kenya
1-Nov-11,Youth Centre Kiryandongo ,1.921976,32.164559,West,Western,Kiryandongo ,Uganda
8-Nov-11,YMCA Hall Nyeri ,-0.42972,36.957129,Central,Central ,Nyeri ,Kenya
11-Nov-11,Muranga College of Technology ,-0.716066,37.147218,Central,Central ,Muranga ,Kenya
15-Nov-11,Town Council of Rumuruti Social Hall,0.262083,36.540257,Central,Rift Valley ,Rumuruti ,Kenya
18-Nov-11,Meru Municipal Council Hall,0.238781,37.954884,Central,Eastern,Meru,Kenya
22-Nov-11,Embu Ack Church,-0.526352,37.444021,Central,Eastern,Embu,Kenya
25-Nov-11,Our Lady of Lourdes Catholic church Hall,-1.518976,37.267218,West,Eastern,Machakos,Kenya
2-Dec-11,Parkside Villa Kitui,-1.368481,38.003086,Central,Eastern,Kitui,Kenya
9-Dec-11,Kajiado ACK Church,-1.847037,36.785392,Central,Rift Valley,Kajiado,Kenya
10-Jan-12,Sunsail Hotel Lamu,-2.268593,40.902657,South,Coast,Lamu,Kenya
13-Jan-12,Hola County Council Hall,-1.502791,40.026706,South,Coast,Hola,Kenya
17-Jan-12,Moving the Goal Post Conference Hall Kilifi ,-3.646612,39.848833,South,Coast,Kilifi,Kenya
20-Jan-12,"Wesly Methodist Tononoka Hall,Mombasa ",-4.047918,39.667649,South,Coast,Mombasa,Kenya
24-Jan-12,"Kenya National Library Hall,Wundanyi ",-3.404148,38.361951,South,Coast,Wundanyi,Kenya
24-Jan-12,Kwale County Council Hall,-4.173784,39.460312,South,Coast,Kwale,Kenya
21-Feb-12,"Charter Hall, Nairobi",-1.286545,36.821731,South Central,Nairobi,Nairobi,Kenya
